ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
28;B0843;843;CAMBIO DE PAR SECUNDARIO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.720;NULL;Infraestructura;Red Externa Cobre;Cable Secundario
29;B0844;844;CAMBIO DE TRAMO CABLE CANALIZADO  (SECUNDARIO);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.387;NULL;Infraestructura;Red Externa Cobre;Cable Secundario
30;B0845;845;CAMBIO DE TRAMO CABLE AÉREO  (SECUNDARIO);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.103;NULL;Infraestructura;Red Externa Cobre;Cable Secundario
31;B0846;846;IDENTIFICACIÓN DE PAR SECUNDARIO;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.553;NULL;Infraestructura;Red Externa Cobre;Cable Secundario
32;B0848;848;NO USAR               REPARACIÓN HILOS DE EMPALME SECUNDARIO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
33;B0851;851;CABLE SECUNDARIO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.707;NULL;Infraestructura;Red Externa Cobre;Cable Secundario
34;B0854;854;CAMBIO DE CAJA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.400;NULL;Premisas;Red Externa;Caja De Dispersión
35;B0855;855;REPARADO EN CAJA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.853;NULL;Infraestructura;Red Externa Cobre;Caja De Dispersión
36;B0856;856;IDENTIFICACIÓN DE PAR  (CAJA);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
37;B0861;861;CAMBIO TRAMO FIBRA OPTICA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
38;B0867;867;ENLACE TRONCAL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
39;B0869;869;NEOPREN REFORZADO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
