ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
2495;961;961;Pc desconfigurado  (Internet);Equipos;Software del cliente;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2496;962;962;Modificación de software  (Internet);Equipos;Software del cliente;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2497;963;963;Reparado en repetidora (Radio);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2498;964;964;Cambió chapa alcancia;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2499;965;965;Reparó Aparato (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2500;966;966;Cambio chapa  (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2501;967;967;Cambio  bocina  (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2502;968;968;Retiro Aparato  (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2503;969;969;Reinstalo aparato  (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2504;970;970;Pendiente por cambio de chapa  (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2505;971;971;Pendiente por cambio de aparato  (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2506;972;972;Pendiente por recolección  (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2507;973;973;Pendiente por reinstalar  (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2508;974;974;Prueba OK. loop físico/bert;Equipos;Hardware del cliente;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2509;975;975;Reparado en IDF (multinet);Planta Externa;Distribuidor;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2510;976;976;Reconfiguración de puerto;Plataforma;Configuración Plataforma;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2511;977;977;Daño Otros Operadores;Otros;Otras operadoras;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2512;978;978;Reset al módem remoto;Equipos;CPE de datos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2513;979;979;Reconfiguración del módem remoto;Equipos;CPE de datos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2514;980;980;Reset router / planta (cliente);Equipos;Hardware del cliente;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2515;981;981;Vandalismo u Orden Público;Otros;Vandalismo;Hurto/Daño infraestructura;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2516;982;982;Cambio de NT;Alusivo a UNE;Cambio y Reconfiguracion de Equipos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2517;983;983;Cambio de TA (EEPPM);Alusivo a UNE;Cambio y Reconfiguracion de Equipos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2518;984;984;Vía interrumpida  (Pendiente);Otros;Vía interrumpida;Hurto/Daño infraestructura;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2519;985;985;Cambio de Dtel (EEPPM);Alusivo a UNE;Cambio y Reconfiguracion de Equipos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2520;986;986;Reconfiguración de TA (Cliente);Alusivo a UNE;Cambio y Reconfiguracion de Equipos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2521;987;987;Local cerrado/desocupado (Pendiente);Atendidos;Local cerrado- desocupado;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2522;988;988;Local desocupado  (Pendiente);Atendidos;Local cerrado- desocupado;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2523;989;989;No dejan revisar  (Pendiente);Atendidos;Asesoria al cliente ;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2524;990;990;No dan razón  (Pendiente);Atendidos;Asesoria al cliente ;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2525;991;991;Pendiente por llaves  (Pendiente);Cliente;Red interna;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2526;992;992;No fue posible contactar cliente  (Pendiente);Atendidos;Asesoria al cliente ;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2527;993;993;Incumplió cita  (Suscriptor - Pendiente);Cliente;Cita incumplida;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2528;994;994;Reconfiguración de Dtel (Cliente);Alusivo a UNE;Cambio y Reconfiguracion de Equipos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2529;995;995;Cambio de TA (Cliente);Equipos;CPE de datos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2530;996;996;Incumplió cita  (EEPPM - Pendiente);Alusivo a UNE;Cita incumplida;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2531;997;997;Cambio de Dtel (Cliente);Cliente;Configuración Equipos ;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2532;998;998;Reconfiguracion de TA (Cliente);Cliente;Configuración Equipos ;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2533;999;999;Rev. INTERVENTORIA;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2534;1000;1000;Cambio Módem (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2535;1001;1001;Pendiente Equipo: Modem STB Ctrl.;Equipos;CPE de datos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2536;1002;1002;Pendiente Protector Display (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2537;1003;1003;Pendiente Pictogrma (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2538;1004;1004;Reporte ultima llamada;Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2539;1005;1005;Cambio sensor rebose;Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2540;1006;1006;Repar. Varios (TP);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2541;1007;1007;Repar. Chapa Alcancía (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2542;1008;1008;Repar. Chapa Técnica (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2543;1009;1009;Alcancía Recolectada (TP);Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2544;1010;1010;Organizó líneas de acometida;Planta Externa;Línea acometida;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2545;1011;1011;Prolongo tubo Bajante;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2546;1012;1012;Cambio de Tapa Mecánica;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2547;1013;1013;Reparó Inalambrico;Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2548;1014;1014;Impermeabilizó;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2549;1015;1015;Aparato desconectado por Usuario;Alusivo a UNE;Teléfonos públicos;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2550;1016;1016;Suiche de repique apagado por usuario;Alusivo a UNE;Teléfonos públicos;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2551;1017;1017;El usuario cambia el toma malo;Alusivo a UNE;Teléfonos públicos;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2552;1018;1018;El usuario coloca filtro de RF;Alusivo a UNE;Teléfonos públicos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2553;1019;1019;Daño en alarma cuando monitorean (usuario);Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2554;1020;1020;Daño en equipos o accesorios de la planta del usuario;Alusivo a UNE;Teléfonos públicos;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2555;1021;1021;Equipo de medida para cobro de energía;Otros;Otras operadoras;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2556;1022;1022;Cambió o retiró fusible en la línea;Planta Externa;Línea acometida;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2557;1023;1023;Posición física vacante;Planta Interna;Inhabilitado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2558;1024;1024;Reparación Operación degrada;Planta Externa;Cable primario;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2559;1025;1025;Reparación Operación intermitente;Planta Externa;Cable primario;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2560;1028;1028;Se reubico pedestal;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2561;1029;1029;Se retiro platina;Alusivo a UNE;Teléfonos públicos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2562;1030;1030;Tapa de cámara corradine;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Elemento Externo;Camara
2563;1031;1031;Tapa de cámara de 60 * 80;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2564;1032;1032;Retiro de poste;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Elemento Externo;Poste
2565;1033;1033;Montaje de poste;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Elemento Externo;Poste
2566;1034;1034;Recolección de escombros;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2567;1035;1035;Descope de árboles;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2568;1036;1036;Retiro de cable;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2569;1037;1037;Retiro de líneas;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2570;1038;1038;Realce de cámara;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Elemento Externo;Camara
2571;1039;1039;Aterrizada de armario;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Red Externa;Armario
2572;1040;1040;Cambio de armario;Planta Externa;Armario;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Infraestructura;Red Externa;Armario
2573;1041;1041;Cosida de cable;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2017-06-18 14:42:38.643;NULL;Infraestructura;Red Externa;Cables
2574;1042;1042;Cambio de Adaptador (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2575;1043;1043;Cambio de antena yagui (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2576;1044;1044;Cambio de antena omni (gsm);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2577;1045;1045;Cambio de batería (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2578;1046;1046;Cambio de equipo (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2579;1047;1047;Cambio de tarjeta SIM (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2580;1048;1048;Cambio de protección AC (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2581;1049;1049;Daño en central EDATEL (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2582;1050;1050;Reparaciones Proyectos Menores;Planta Externa;Causa Comun Conocida;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2583;1051;1051;Robo de Cable Primario;Otros;Orden Publico;Hurto/Daño infraestructura;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2584;1052;1052;Robo de Cable Secundario;Otros;Orden Publico;Hurto/Daño infraestructura;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2585;1053;1053;Orientación de antena (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2586;1054;1054;Programación equipo (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2587;1055;1055;Programación OMCR EDATEL (GSM);Alusivo a UNE;Inalámbricos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2588;1056;1056;Reinstalación de antena (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2589;1057;1057;Reinstalación de equipo (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2590;1058;1058;Reset de equipo (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2591;1059;1059;Reparación puesta a tierra (GSM);Alusivo a UNE;Inalámbricos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2592;1060;1060;Reparacion en centrales aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2593;1061;1061;Reparación en planta externa aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2594;1062;1062;Reparacion en el cliente aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2595;1063;1063;Bueno con visita aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;SI;Se encontro bueno;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2596;1064;1064; Bueno sin visita aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2597;1065;1065;Se coloco piso;Alusivo a UNE;Teléfonos públicos;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2598;1066;1066;No fue posible contactar cliente aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2599;1067;1067;Se corrigió Acceso a la base de Datos aguinaldo navideño;Otros;Aguinaldo Navideño;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2600;1070;1070;Problemas en transmisión  Solucionado;Planta Externa;Cable troncal;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2601;1071;1071;Reparación de transmisión por datos;Planta Externa;Cable troncal;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2602;1072;1072;Problemas con la Energía solucionados;Planta Externa;Cable troncal;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2603;1073;1073;Robo de línea de acometida;Otros;Orden Publico;Hurto/Daño infraestructura;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2604;1074;1074;Reparó línea. daño por operador de tv;Otros;Otras operadoras;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2605;1075;1075;Reparó línea. Daño por EPMTV;Planta Externa;Línea acometida;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2606;1076;1076;Filtro ADSL;Cliente;Filtro radiofrecuencia;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2607;1090;1090;No hay reparación - solictar servicio;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2608;1091;1091;No hay reparación - Solicitar cambio de Categoría;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2609;1092;1092;No hay reparación- Solicitar datos Cuenta y clave;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2610;1093;1093;no hay reparación -Solicitar desbloqueo de Cuenta y clave;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2611;1094;1094;No hay reparación. El usuario debe de ingresar los dígitos e;Otros;Otros;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2612;1095;1095;Se realizo gestión daño de Internet;Planta Interna;Daño General;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2613;1096;1096;Reconfiguración CPE  DLINK;Equipos;CPE de datos;Con Falla;UNE;S;SI;Reconfiguración Equipo/Puerto;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2614;1097;1097;Ajuste de los cables;Cliente;Cable de ellos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2615;1098;1098;Se realizo ajuste en plataforma;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2616;1099;1099;Ajuste puerto del VOZ CPE ADSL;Equipos;CPE de datos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2617;1100;1100;Cambio codigo secreto;Atendidos;Asesoria al cliente ;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2618;1101;1101;Cambio equipo ATA;Alusivo a UNE;Equipos Terminales TOIP;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2619;1102;1102;Problema base de datos de CDRs;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2620;1103;1103;Problema base de datos open ser;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2621;1104;1104;Problema en el media server;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2622;1105;1105;Reconfiguracion del Puerto Dslam;Planta Interna;Reparado en central;Con Falla;UNE;S;SI;Reconfiguración Equipo/Puerto;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2623;1106;1106;Reconfiguracion del  ATA;Alusivo a UNE;Equipos Terminales TOIP;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2624;1107;1107;Regeneracion del archivo;Planta Interna;Reparado en central;Con Falla;UNE;S;SI;Reconfiguración Equipo/Puerto;2016-05-12 12:12:25.203;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
2625;1108;1108;Reinicio el ATA;Alusivo a UNE;Equipos Terminales TOIP;Con Falla;CLIENTE;S;SI;Reinicio de Equipo;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2626;1109;1109;Revision y ajuste Equipos;Equipos;CPE de datos;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2627;1110;1110;Solucion enrutamiento;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2628;1111;1111;Requiere antena outdoor- ingresar petición;Atendidos;Alusivo al cliente;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2629;1112;1112;Actualización Remota;Atendidos;Alusivo al cliente;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2630;1113;1113;Configuración en Campo;Alusivo a UNE;Reparación por Garantia;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2631;1114;1114;Cambio Antena Indoor;Alusivo a UNE;Reparación por Garantia;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2632;1115;1115;Cambio Antena Outdoor;Alusivo a UNE;Reparación por Garantia;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2633;1116;1116;Cambio conectores Cable Antena;Alusivo a UNE;Reparación por Garantia;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2634;1117;1117;Cambio de alineacion de antena;Alusivo a UNE;Reparación por Garantia;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2635;1118;1118;Actualizacion Firmware equipo terminal;Equipos;CPE de datos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2636;1119;1119;Cambio de adaptador de Energia;Alusivo a UNE;Reparación por Garantia;Con Falla;UNE;S;NULL;NULL;2017-06-18 14:42:38.120;NULL;Equipo;Inconveniente Adaptador;Adaptador Quemado
2637;1120;1120;Cambio de Configuracion IP Fija en Ldap;Atendidos;Alusivo al cliente;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2638;1121;1121;Cambio de Configuracion Perfil;Atendidos;Alusivo al cliente;Con Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2639;1122;1122;Deteccion de trafico excesivo del cliente;Atendidos;Alusivo al cliente;Sin Falla;CLIENTE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2640;1123;1123;No hay  Cobertura;Atendidos;Alusivo al cliente;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2641;1124;1124;Mantenimiento RadioBase;Planta Interna;Reparado en central;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2642;1125;1125;Configuración red Inhalambrica;Equipos;CPE de datos;Con Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;Equipo;Configuracion Equipos;Configuracion Wifi
2643;1344;1344;;;;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
2644;1646;1646;Sin Descripcion;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;S;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
